2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2018.11.06 02:42:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2018.11.06 02:42:19 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2018.11.06 02:42:19 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@4d8769ca [pattern=UrlPattern{inclusions=[/api/measures/component/*, ...], exclusions=[/api/properties*, ...]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@2c428aa8 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@d00d024 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@244f8d5d [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@373058de [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@2248f59c [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@7aa83e05 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@481c9d22 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2018.11.06 02:42:19 INFO  web[][o.s.s.p.Platform] WebServer is operational
2018.11.06 02:43:02 INFO  web[AWbluBuqu9Lzh7RhAAAS][o.s.u.c.UpdateCenter] The plugin 'codescan' version : 4.1.6 has not been found on the update center.
2018.11.06 02:43:02 INFO  web[AWbluBuqu9Lzh7RhAAAS][o.s.u.c.UpdateCenter] The plugin 'csharp' version : 6.5.0.3766 has not been found on the update center.
2018.11.06 02:43:02 INFO  web[AWbluBuqu9Lzh7RhAAAS][o.s.u.c.UpdateCenter] The plugin 'java' version : 4.15.0.12310 has not been found on the update center.
